id,region,date
1,Asia,15/4/2014
2,Asia,1/3/2008
3,Asia,25/2/2009
4,Asia,9/4/2007
5,Asia,29/11/2013
6,Asia,NA
7,Asia,NA
8,Asia,1/10/2006
9,Asia,28/2/2009
10,Asia,10/11/2009
11,Asia,1/10/2015
12,Asia,1/2/2009
13,Asia,4/4/2009
14,Asia,28/8/2009
15,Asia,24/11/2004
16,Asia,30/4/2007
17,Asia,NA
18,Asia,26/4/2007
19,Asia,20/11/2006
20,Asia,3/4/2007
21,Asia,19/12/2006
22,Asia,28/9/2006
23,Asia,24/4/2007
24,Asia,1/9/2007
25,Asia,14/11/2007
26,Asia,20/9/2012
27,Asia,28/9/2007
28,Asia,1/3/2008
29,Asia,31/10/2009
30,Asia,6/4/2011
31,Asia,24/9/2014
32,Asia,NA
33,Asia,NA
34,Asia,24/3/2017
35,Asia,5/12/2007
36,Asia,24/3/2011
37,Asia,1/11/2011
38,Asia,23/2/2009
39,Asia,15/6/2008
40,Asia,6/11/2007
41,Asia,24/1/2013
42,Asia,26/12/2016
43,Asia,1/2/2007
44,Asia,1/3/2010
45,Asia,NA
46,Asia,16/6/2007
47,Asia,NA
48,Asia,10/9/2015
49,Asia,14/2/2006
50,Asia,NA
51,Asia,13/6/2007
52,Asia,1/10/2005
53,Asia,1/4/2006
54,Asia,5/4/2006
55,Asia,9/6/2006
56,Asia,13/4/2007
57,Asia,25/10/2006
58,Asia,9/11/2012
59,Asia,12/11/2007
60,Asia,25/11/2007
61,Asia,26/11/2007
62,Asia,1/4/2008
63,Asia,1/10/2008
64,Asia,1/4/2010
65,Asia,NA
66,Asia,1/10/2011
67,Asia,NA
68,Asia,26/3/2007
69,Asia,1/10/2006
70,Asia,3/8/2006
71,Asia,7/11/2006
72,Asia,18/12/2006
73,Asia,29/12/2006
74,Asia,20/12/2006
75,Asia,19/12/2006
76,Asia,27/12/2006
77,Asia,24/12/2006
78,Asia,28/12/2006
79,Asia,15/9/2009
80,Asia,NA
81,Asia,NA
82,Asia,22/10/2016
83,Asia,7/5/2005
84,Asia,NA
85,Asia,26/2/2009
86,Asia,20/8/2015
87,Asia,1/8/2006
88,Asia,1/1/2009
89,Asia,18/7/2012
90,Asia,9/4/2009
91,Asia,9/11/2011
92,Asia,14/3/2010
93,Asia,18/1/2011
94,Asia,19/5/2011
95,Asia,26/11/2011
96,Asia,22/2/2011
97,Asia,1/11/2007
98,Asia,NA
99,Asia,1/4/2009
100,Asia,16/9/2012
101,Asia,12/5/2006
102,Asia,1/12/2009
103,Asia,23/3/2010
104,Asia,1/1/2011
105,Asia,24/6/2016
106,Asia,26/11/2010
107,Asia,14/4/2010
108,Asia,28/11/2008
109,Asia,1/5/2013
110,Asia,NA
111,Asia,24/8/2010
112,Asia,23/3/2011
113,Asia,NA
114,Africa,NA
115,Africa,28/4/2013
116,Africa,9/10/2013
117,Africa,3/12/2012
118,Africa,1/9/2012
119,Africa,23/8/2013
120,Africa,16/4/2012
121,Africa,NA
122,Africa,1/5/2013
123,Africa,1/9/2016
124,Africa,1/3/2013
125,Africa,5/6/2013
126,Africa,18/3/2008
127,Africa,1/4/2008
128,Africa,30/5/2009
129,Africa,5/3/2007
130,Africa,9/11/2007
131,Africa,19/12/2005
132,Africa,5/6/2009
133,Africa,21/10/2012
134,Africa,1/3/2015
135,Africa,18/12/2008
136,Africa,1/4/2009
137,Africa,13/11/2008
138,Africa,19/9/2014
139,Africa,1/1/2009
140,Africa,1/7/2010
141,Africa,20/8/2008
142,Africa,20/2/2014
143,Africa,4/7/2014
144,Africa,1/5/2009
145,Africa,1/3/2008
146,Africa,17/12/2009
147,Africa,19/10/2009
148,Africa,10/10/2012
149,Africa,30/10/2009
150,Africa,21/10/2009
151,Africa,12/5/2010
152,Africa,26/11/2013
153,Africa,1/9/2010
154,Africa,6/9/2012
155,Africa,6/2/2015
156,Africa,19/12/2014
157,Africa,NA
158,Africa,NA
159,Africa,NA
160,America,1/3/2005
161,America,15/2/2006
162,America,16/4/2012
163,America,1/9/2005
164,America,17/3/2006
165,America,28/6/2006
166,America,11/11/2006
167,America,15/3/2006
168,America,1/5/2006
169,America,19/5/2009
170,America,23/8/2006
171,America,1/10/2010
172,America,28/1/2011
173,America,23/4/2007
174,America,14/9/2007
175,America,1/10/2010
176,America,21/9/2012
177,America,11/10/2012
178,America,16/5/2007
179,America,30/1/2007
180,America,25/2/2007
181,America,13/3/2007
182,America,30/10/2007
183,America,5/5/2007
184,America,22/10/2007
185,America,2/11/2009
186,America,13/8/2007
187,America,27/6/2007
188,America,1/5/2008
189,America,18/9/2008
190,America,23/7/2007
191,America,4/8/2007
192,America,2/8/2007
193,America,17/9/2007
194,America,28/4/2008
195,America,11/10/2007
196,America,19/10/2010
197,America,1/11/2007
198,America,20/10/2012
199,America,NA
200,America,NA
201,America,NA
202,America,20/3/2012
203,America,2/11/2012
204,America,19/4/2013
205,America,20/5/2013
206,America,12/4/2013
207,America,5/11/2007
208,America,11/11/2007
209,America,6/3/2008
210,America,19/9/2008
211,America,9/3/2008
212,America,3/11/2008
213,America,1/9/2009
214,America,3/7/2008
215,America,28/8/2008
216,America,17/8/2009
217,America,6/11/2009
218,America,30/10/2008
219,America,10/8/2009
220,America,20/1/2009
221,America,19/5/2010
222,America,16/4/2009
223,America,6/11/2009
224,America,5/11/2009
225,America,23/11/2009
226,America,26/4/2010
227,America,10/4/2013
228,America,7/2/2013
229,America,NA
230,America,19/5/2010
231,America,3/7/2013
232,America,23/9/2013
233,America,7/4/2011
234,America,30/8/2013
235,America,NA
236,America,29/4/2010
237,America,21/4/2010
238,America,17/4/2013
239,America,11/4/2013
240,America,27/10/2010
241,America,10/5/2006
242,America,10/12/2010
243,America,18/4/2013
244,America,9/4/2010
245,America,10/2/2010
246,America,6/11/2009
247,America,27/9/2013
248,America,19/5/2010
249,America,6/11/2010
250,America,19/10/2010
251,America,NA
252,America,1/9/2010
253,America,8/9/2009
254,America,10/4/2015
255,America,6/6/2014
256,America,12/6/2014
257,America,3/7/2014
258,America,5/8/2014
259,America,24/10/2014
260,America,31/10/2014
261,America,5/11/2014
262,America,18/5/2015
263,America,1/6/2015
264,America,NA
265,America,NA
266,America,NA
267,America,NA
268,America,NA
269,America,4/11/2011
270,America,7/2/2006
271,America,29/4/2008
272,America,29/4/2008
273,America,8/10/2007
274,America,29/4/2008
275,America,4/5/2008
276,America,5/5/2010
277,America,19/4/2012
278,America,29/4/2008
279,America,24/11/2011
280,America,18/6/2012
281,America,22/11/2006
282,America,11/3/2007
283,America,25/9/2007
284,America,12/11/2008
285,America,5/3/2008
286,America,19/11/2008
287,America,17/8/2009
288,America,20/3/2009
289,America,11/11/2010
290,America,30/4/2010
291,America,2/11/2007
292,America,7/5/2013
293,America,30/11/2009
294,America,28/4/2008
295,America,5/5/2009
296,America,26/11/2008
297,America,19/7/2012
298,America,29/11/2013
299,America,NA
300,America,25/4/2012
301,America,29/3/2010
302,America,1/9/2011
303,America,NA
304,America,17/7/2014
305,America,17/7/2014
306,America,27/5/2009
307,America,1/9/2010
308,America,7/8/2009
309,America,13/2/2009
310,America,27/12/2010
311,America,17/10/2012
312,America,3/9/2011
313,America,24/3/2013
314,America,20/10/2013
315,America,7/7/2014
316,America,2/9/2015
317,America,16/2/2017
318,Europe,10/12/2010
319,Europe,13/5/2013
320,Europe,3/4/2013
321,Europe,26/4/2011
322,Europe,27/7/2011
323,Europe,22/5/2013
324,Europe,24/10/2007
325,Europe,15/2/2006
326,Europe,26/5/2006
327,Europe,8/6/2010
328,Europe,5/7/2006
329,Europe,19/9/2011
330,Europe,6/12/2013
331,Europe,1/12/2005
332,Europe,28/3/2012
333,Europe,10/3/2005
334,Europe,2/6/2005
335,Europe,20/2/2012
336,Europe,24/4/2006
337,Europe,29/6/2015
338,Europe,NA
339,Europe,19/10/2007
340,Europe,1/12/2006
341,Europe,8/10/2008
342,Europe,14/6/2008
343,Europe,1/9/2008
344,Europe,21/9/2015
345,Europe,20/11/2007
346,Europe,16/6/2012
347,Europe,3/7/2009
348,Europe,1/7/2005
349,Europe,2/6/2006
350,Europe,31/8/2005
351,Europe,25/4/2008
352,Europe,16/6/2006
353,Europe,7/6/2006
354,Europe,14/9/2006
355,Europe,14/6/2006
356,Europe,17/2/2009
357,Europe,23/10/2013
358,Europe,18/5/2007
359,Europe,7/11/2011
360,Europe,1/9/2008
361,Europe,1/7/2008
362,Europe,11/6/2014
363,Europe,22/9/2013
364,Europe,11/11/2015
365,Europe,6/10/2016
366,Europe,21/12/2006
367,Europe,26/12/2006
368,Europe,6/9/2007
369,Europe,10/11/2006
370,Europe,12/12/2006
371,Europe,8/4/2007
372,Europe,24/4/2007
373,Europe,15/5/2007
374,Europe,22/11/2007
